,temperature,time,ctwl/nm,thresh/dBm,notch/dB,reflection/%
112,1006,2022/8/23 1:22,1537.4514,-78.7428,0.1196,2.716317877
113,1006,2022/8/23 1:23,1538.7563,-78.1127,0.1172,2.66254207
114,1006,2022/8/23 1:23,1536.0477,-78.4345,0.1184,2.689433688
115,1006,2022/8/23 1:24,1537.9798,-78.454,0.119,2.702876711
116,1006,2022/8/23 1:24,1537.5067,-78.1476,0.1184,2.689433688
117,1006,2022/8/23 1:25,1537.2478,-78.2988,0.1186,2.693914902
118,1006,2022/8/23 1:25,1537.2076,-78.0439,0.12,2.725277622
119,1006,2022/8/23 1:26,1537.5253,-78.4945,0.1195,2.714077811
120,1006,2022/8/23 1:26,1536.9554,-78.9008,0.1174,2.667024522
121,1006,2022/8/23 1:27,1536.2024,-78.8588,0.1194,2.711837694
122,1006,2022/8/23 1:27,1537.3568,-78.7048,0.1176,2.671506768
123,1006,2022/8/23 1:28,1537.7445,-79.4231,0.1173,2.664783322
124,1006,2022/8/23 1:28,1537.6044,-79.5457,0.1193,2.709597526
125,1006,2022/8/23 1:29,1538.3954,-78.9292,0.1226,2.783495858
126,1006,2022/8/23 1:29,1536.8726,-79.0004,0.1193,2.709597526
127,1006,2022/8/23 1:30,1538.1106,-78.5402,0.1194,2.711837694
128,1006,2022/8/23 1:30,1537.5051,-78.5164,0.1171,2.660300766
129,1006,2022/8/23 1:31,1537.8402,-78.3965,0.1184,2.689433688
130,1006,2022/8/23 1:31,1537.4913,-78.7884,0.1209,2.745434033
131,1006,2022/8/23 1:32,1537.6237,-78.446,0.1181,2.68271148
132,1006,2022/8/23 1:32,1537.3148,-78.2678,0.12,2.725277622
133,1006,2022/8/23 1:33,1537.4196,-78.2257,0.1188,2.69839591
134,1006,2022/8/23 1:33,1537.3089,-79.2953,0.1206,2.738715694
135,1006,2022/8/23 1:34,1537.5952,-79.7446,0.1162,2.640126711
136,1006,2022/8/23 1:34,1537.537,-79.3541,0.1184,2.689433688
137,1006,2022/8/23 1:35,1537.9151,-78.8008,0.1181,2.68271148
138,1006,2022/8/23 1:35,1537.9307,-78.6217,0.1183,2.687193004
139,1006,2022/8/23 1:36,1537.3461,-78.6392,0.1174,2.667024522
140,1006,2022/8/23 1:36,1538.5925,-78.5805,0.1207,2.740955192
141,1006,2022/8/23 1:37,1529.654,-79.083,0.1189,2.700636336
142,1006,2022/8/23 1:37,1537.8678,-78.3243,0.1166,2.649093474
143,1006,2022/8/23 1:38,1538.2373,-78.6354,0.1177,2.673747814
144,1006,2022/8/23 1:38,1537.3867,-78.4232,0.1186,2.693914902
145,1005,2022/8/23 1:39,1537.806,-78.6431,0.1219,2.767825146
146,1005,2022/8/23 1:39,1537.2452,-79.1294,0.1184,2.689433688
147,1005,2022/8/23 1:40,1537.6878,-78.6711,0.1162,2.640126711
148,1005,2022/8/23 1:40,1537.8608,-78.5048,0.118,2.680470641
149,1005,2022/8/23 1:41,1536.9925,-78.5697,0.1189,2.700636336
150,1005,2022/8/23 1:41,1537.6745,-78.6053,0.1209,2.745434033
151,1005,2022/8/23 1:42,1537.2105,-78.5302,0.1188,2.69839591
152,1005,2022/8/23 1:42,1537.3325,-78.5821,0.1218,2.765586267
153,1005,2022/8/23 1:43,1537.3115,-78.8185,0.1197,2.71855789
154,1005,2022/8/23 1:43,1537.5699,-78.5716,0.1193,2.709597526
155,1005,2022/8/23 1:44,1537.4198,-78.7247,0.1169,2.655818004
156,1005,2022/8/23 1:44,1537.6798,-79.2057,0.1183,2.687193004
157,1005,2022/8/23 1:45,1537.5751,-80.092,0.121,2.747673376
158,1005,2022/8/23 1:45,1537.5337,-79.7097,0.1191,2.705117034
159,1005,2022/8/23 1:46,1537.5815,-79.9607,0.1196,2.716317877
160,1005,2022/8/23 1:46,1537.5166,-79.7645,0.119,2.702876711
161,1005,2022/8/23 1:47,1529.6775,-78.6002,0.119,2.702876711
162,1005,2022/8/23 1:47,1537.3469,-78.563,0.1198,2.720797853
163,1005,2022/8/23 1:48,1537.6389,-78.801,0.1208,2.743194638
164,1005,2022/8/23 1:48,1537.4436,-78.316,0.1243,2.821542788
165,1005,2022/8/23 1:49,1537.1562,-78.2541,0.1268,2.877467107
166,1005,2022/8/23 1:49,1537.7428,-79.6461,0.1213,2.754391097
167,1005,2022/8/23 1:50,1537.3435,-78.8186,0.129,2.926653885
168,1005,2022/8/23 1:50,1537.3257,-78.5805,0.1277,2.897591982
169,1005,2022/8/23 1:51,1538.2224,-78.3405,0.1265,2.870757888
170,1005,2022/8/23 1:51,1541.8249,-76.859,0.1274,2.890884154
171,1005,2022/8/23 1:52,1537.59,-79.2333,0.1271,2.884175862
172,1005,2022/8/23 1:52,1537.3111,-80.0216,0.128,2.904299347
173,1005,2022/8/23 1:53,1537.3906,-79.57,0.1269,2.87970341
174,1005,2022/8/23 1:53,1537.5143,-79.6853,0.1271,2.884175862
175,1005,2022/8/23 1:54,1537.7428,-79.6448,0.128,2.904299347
176,1005,2022/8/23 1:54,1537.341,-79.4097,0.1258,2.855101242
177,1005,2022/8/23 1:55,1537.4461,-79.4494,0.1252,2.841679251
178,1005,2022/8/23 1:55,1537.8621,-79.4615,0.1276,2.895356091
179,1005,2022/8/23 1:56,1537.663,-78.7142,0.1277,2.897591982
180,1005,2022/8/23 1:56,1537.7246,-78.8624,0.1295,2.937829223
181,1005,2022/8/23 1:57,1529.6646,-79.0652,0.1261,2.861811542
182,1005,2022/8/23 1:57,1537.3175,-78.5693,0.1269,2.87970341
183,1005,2022/8/23 1:58,1537.3805,-78.5695,0.126,2.859574827
184,1005,2022/8/23 1:58,1537.3846,-78.8188,0.1296,2.940064137
185,1005,2022/8/23 1:59,1537.6054,-79.2943,0.1282,2.908770666
186,1005,2022/8/23 1:59,1537.6864,-79.6121,0.127,2.881939662
187,1005,2022/8/23 2:00,1537.3691,-79.7235,0.1284,2.91324178
188,1005,2022/8/23 2:00,1537.7923,-79.4498,0.1277,2.897591982
189,1005,2022/8/23 2:01,1537.705,-79.0568,0.1287,2.919948064
190,1005,2022/8/23 2:01,1537.5715,-78.757,0.1272,2.886412011
191,1005,2022/8/23 2:02,1537.7322,-78.7842,0.1252,2.841679251
192,1005,2022/8/23 2:02,1537.499,-78.9492,0.1267,2.875230752
193,1005,2022/8/23 2:03,1537.9097,-78.4628,0.1276,2.895356091
194,1005,2022/8/23 2:03,1537.7341,-78.5128,0.1274,2.890884154
195,1005,2022/8/23 2:04,1539.0289,-78.5041,0.1261,2.861811542
196,1005,2022/8/23 2:04,1537.4802,-78.8885,0.1268,2.877467107
197,1005,2022/8/23 2:05,1536.9476,-79.135,0.1273,2.888648108
198,1005,2022/8/23 2:05,1537.5234,-79.5542,0.1277,2.897591982
199,1005,2022/8/23 2:06,1537.4814,-79.9861,0.1274,2.890884154
200,1005,2022/8/23 2:06,1537.4326,-79.486,0.1275,2.893120148
201,1005,2022/8/23 2:07,1537.2053,-79.1911,0.1263,2.866284818
202,1005,2022/8/23 2:07,1537.6861,-78.5934,0.1287,2.919948064
203,1005,2022/8/23 2:08,1537.1116,-78.4006,0.126,2.859574827
204,1005,2022/8/23 2:08,1537.1071,-78.6065,0.128,2.904299347
205,1005,2022/8/23 2:09,1537.4474,-78.2082,0.125,2.837204842
206,1005,2022/8/23 2:09,1536.6064,-79.9003,0.1288,2.922183389
207,1005,2022/8/23 2:10,1537.4595,-78.4878,0.1256,2.850627451
208,1005,2022/8/23 2:10,1537.3994,-79.6444,0.1274,2.890884154
209,1005,2022/8/23 2:11,1537.4768,-79.8713,0.1278,2.899827822
210,1005,2022/8/23 2:11,1537.6554,-79.7203,0.1293,2.933359242
211,1005,2022/8/23 2:12,1537.5064,-79.627,0.1285,2.915477259
212,1005,2022/8/23 2:12,1537.7538,-79.1578,0.1266,2.872994346
213,1005,2022/8/23 2:13,1537.44,-79.9178,0.1274,2.890884154
214,1005,2022/8/23 2:13,1537.6916,-78.5873,0.1283,2.911006249
215,1005,2022/8/23 2:14,1537.6656,-78.6036,0.1284,2.91324178
216,1005,2022/8/23 2:14,1537.5457,-78.4478,0.1273,2.888648108
217,1005,2022/8/23 2:15,1537.5607,-78.9311,0.127,2.881939662
218,1005,2022/8/23 2:15,1537.4308,-78.7185,0.127,2.881939662
219,1005,2022/8/23 2:16,1537.566,-78.9334,0.1296,2.940064137
220,1005,2022/8/23 2:16,1537.3756,-78.2571,0.1263,2.866284818
221,1005,2022/8/23 2:17,1537.887,-78.3725,0.1273,2.888648108
222,1005,2022/8/23 2:17,1537.4334,-79.0714,0.127,2.881939662
223,1005,2022/8/23 2:18,1537.4854,-79.9947,0.1268,2.877467107
224,1005,2022/8/23 2:18,1537.5057,-79.6074,0.1258,2.855101242
225,1005,2022/8/23 2:19,1537.5467,-80.1237,0.1265,2.870757888
226,1005,2022/8/23 2:19,1537.6633,-80.045,0.129,2.926653885
227,1005,2022/8/23 2:20,1537.0546,-78.7939,0.1267,2.875230752
228,1005,2022/8/23 2:20,1537.542,-78.5209,0.1264,2.868521379
229,1005,2022/8/23 2:21,1537.8599,-78.3952,0.125,2.837204842
230,1005,2022/8/23 2:21,1537.8587,-79.1154,0.1259,2.85733806
231,1005,2022/8/23 2:22,1537.5024,-78.6527,0.1262,2.864048206
232,1005,2022/8/23 2:22,1537.3895,-78.615,0.1269,2.87970341
233,1005,2022/8/23 2:23,1538.1081,-78.7773,0.1278,2.899827822
234,1005,2022/8/23 2:23,1537.3949,-79.4717,0.1271,2.884175862
235,1005,2022/8/23 2:24,1537.3827,-80.3529,0.1265,2.870757888
236,1005,2022/8/23 2:24,1537.621,-79.9733,0.1257,2.852864373
237,1005,2022/8/23 2:25,1537.4469,-79.0326,0.1264,2.868521379
238,1005,2022/8/23 2:25,1537.5583,-78.5064,0.1262,2.864048206
239,1005,2022/8/23 2:26,1537.7354,-78.582,0.1263,2.866284818
240,1005,2022/8/23 2:26,1537.373,-78.2179,0.1268,2.877467107
241,1005,2022/8/23 2:27,1537.5388,-78.8156,0.1261,2.861811542
242,1005,2022/8/23 2:27,1537.6511,-79.2626,0.1266,2.872994346
243,1005,2022/8/23 2:28,1537.8089,-78.5497,0.1287,2.919948064
244,1005,2022/8/23 2:28,1537.6474,-78.5085,0.1284,2.91324178
245,1005,2022/8/23 2:29,1537.2589,-78.4124,0.1274,2.890884154
246,1005,2022/8/23 2:29,1537.5194,-79.5268,0.1258,2.855101242
247,1005,2022/8/23 2:30,1537.4974,-79.456,0.1251,2.839442073
248,1005,2022/8/23 2:30,1537.4535,-79.5356,0.127,2.881939662
249,1005,2022/8/23 2:31,1537.6888,-79.5469,0.1272,2.886412011
250,1005,2022/8/23 2:31,1537.7492,-79.0913,0.1272,2.886412011
251,1005,2022/8/23 2:32,1537.8949,-78.6405,0.1265,2.870757888
252,1005,2022/8/23 2:32,1537.7581,-78.7835,0.1251,2.839442073
253,1005,2022/8/23 2:33,1537.936,-78.718,0.127,2.881939662
254,1005,2022/8/23 2:33,1537.9876,-78.6254,0.1264,2.868521379
255,1005,2022/8/23 2:34,1537.5865,-78.4491,0.1261,2.861811542
256,1005,2022/8/23 2:34,1537.4808,-78.5635,0.1254,2.846153454
257,1005,2022/8/23 2:35,1538.1079,-78.2618,0.1252,2.841679251
258,1005,2022/8/23 2:35,1537.4884,-79.8571,0.1257,2.852864373
259,1005,2022/8/23 2:36,1537.5033,-79.507,0.126,2.859574827
260,1005,2022/8/23 2:36,1537.4957,-79.7349,0.1265,2.870757888
261,1005,2022/8/23 2:37,1537.3816,-79.6653,0.1255,2.848390479
262,1005,2022/8/23 2:37,1537.5417,-79.5413,0.1247,2.830492842
263,1005,2022/8/23 2:38,1537.5452,-78.2979,0.1276,2.895356091
264,1005,2022/8/23 2:38,1537.5372,-78.2425,0.1248,2.832730227
265,1005,2022/8/23 2:39,1537.3145,-78.8547,0.1281,2.906535033
266,1005,2022/8/23 2:39,1536.7043,-79.3106,0.1269,2.87970341
267,1005,2022/8/23 2:40,1537.6511,-78.4442,0.1276,2.895356091
268,1005,2022/8/23 2:40,1537.422,-78.412,0.1261,2.861811542
269,1005,2022/8/23 2:41,1536.9017,-78.1268,0.1266,2.872994346
270,1005,2022/8/23 2:41,1536.9735,-78.5338,0.1272,2.886412011
271,1005,2022/8/23 2:42,1537.5744,-78.4981,0.1261,2.861811542
272,1005,2022/8/23 2:42,1537.6495,-78.9557,0.1261,2.861811542
273,1005,2022/8/23 2:43,1537.3017,-80.0508,0.1263,2.866284818
274,1005,2022/8/23 2:43,1537.4577,-80.0797,0.1207,2.740955192
275,1005,2022/8/23 2:44,1537.654,-79.7096,0.1174,2.667024522
276,1005,2022/8/23 2:44,1537.2062,-79.3704,0.1169,2.655818004
277,1005,2022/8/23 2:45,1537.514,-79.551,0.1193,2.709597526
278,1005,2022/8/23 2:45,1537.8557,-79.3512,0.1196,2.716317877
279,1005,2022/8/23 2:46,1537.6061,-78.3453,0.1179,2.67822975
280,1005,2022/8/23 2:46,1537.6028,-78.3898,0.1185,2.691674321
281,1005,2022/8/23 2:47,1538.0436,-78.6725,0.1182,2.684952268
282,1005,2022/8/23 2:47,1537.3155,-79.0764,0.1176,2.671506768
283,1005,2022/8/23 2:48,1536.8962,-78.6398,0.1181,2.68271148
284,1005,2022/8/23 2:48,1537.3862,-78.7686,0.1185,2.691674321
285,1005,2022/8/23 2:49,1537.2723,-79.4918,0.1168,2.653576546
286,1005,2022/8/23 2:49,1537.4425,-79.5388,0.1174,2.667024522
287,1005,2022/8/23 2:50,1537.5996,-80.0278,0.1179,2.67822975
288,1005,2022/8/23 2:50,1537.6856,-78.8241,0.1178,2.675988808
289,1005,2022/8/23 2:51,1538.4512,-78.8795,0.1194,2.711837694
290,1005,2022/8/23 2:51,1537.94,-78.1433,0.1183,2.687193004
291,1005,2022/8/23 2:52,1537.4459,-78.4054,0.1189,2.700636336
292,1005,2022/8/23 2:52,1538.0579,-78.2398,0.1177,2.673747814
293,1005,2022/8/23 2:53,1537.2201,-78.5565,0.1189,2.700636336
294,1005,2022/8/23 2:53,1537.5249,-78.3646,0.1202,2.729757186
295,1005,2022/8/23 2:54,1537.6859,-78.7853,0.1187,2.696155432
296,1005,2022/8/23 2:54,1536.9667,-78.5659,0.1183,2.687193004
297,1005,2022/8/23 2:55,1537.086,-79.1432,0.1178,2.675988808
298,1005,2022/8/23 2:55,1537.5379,-79.3976,0.1183,2.687193004
299,1005,2022/8/23 2:56,1537.445,-80.0076,0.1175,2.669265671
300,1005,2022/8/23 2:56,1537.4326,-79.0424,0.1198,2.720797853
301,1005,2022/8/23 2:57,1537.5697,-78.5802,0.1176,2.671506768
302,1005,2022/8/23 2:57,1537.5428,-79.1411,0.1175,2.669265671
303,1005,2022/8/23 2:58,1537.5326,-78.7993,0.1168,2.653576546
304,1005,2022/8/23 2:58,1537.8602,-78.2253,0.1175,2.669265671
305,1005,2022/8/23 2:59,1537.5607,-78.521,0.1185,2.691674321
306,1004,2022/8/23 2:59,1537.6793,-78.5346,0.1199,2.723037763
307,1004,2022/8/23 3:00,1537.8135,-78.7909,0.1171,2.660300766
308,1004,2022/8/23 3:00,1537.7064,-79.3634,0.1166,2.649093474
309,1003,2022/8/23 3:01,1537.4557,-79.7885,0.1179,2.67822975
310,1002,2022/8/23 3:01,1537.5355,-79.3738,0.1181,2.68271148
311,1002,2022/8/23 3:02,1537.2923,-80.2111,0.1193,2.709597526
312,1001,2022/8/23 3:02,1537.5357,-79.6182,0.1164,2.644610196
313,1000,2022/8/23 3:03,1537.381,-79.9145,0.1174,2.667024522
314,999.3,2022/8/23 3:03,1537.4542,-78.1197,0.1194,2.711837694
315,998.5,2022/8/23 3:04,1537.4923,-78.5769,0.1175,2.669265671
316,997.8,2022/8/23 3:04,1537.5964,-78.678,0.1179,2.67822975
317,997,2022/8/23 3:05,1537.5099,-78.1323,0.1187,2.696155432
318,996.2,2022/8/23 3:05,1537.3517,-78.5149,0.1168,2.653576546
319,995.4,2022/8/23 3:06,1537.7168,-78.7403,0.1184,2.689433688
320,994.6,2022/8/23 3:06,1537.6662,-79.404,0.1191,2.705117034
321,993.9,2022/8/23 3:07,1537.2658,-79.8194,0.1186,2.693914902
322,993.1,2022/8/23 3:07,1537.4285,-78.7748,0.118,2.680470641
323,992.4,2022/8/23 3:08,1537.4368,-79.7874,0.1192,2.707357306
324,991.6,2022/8/23 3:08,1537.548,-80.1751,0.1137,2.584065729
325,990.8,2022/8/23 3:09,1537.5974,-79.6777,0.1175,2.669265671
326,990.1,2022/8/23 3:09,1536.8754,-78.8412,0.1194,2.711837694
327,989.3,2022/8/23 3:10,1537.8709,-79.5402,0.1203,2.73199689
328,988.5,2022/8/23 3:10,1537.4537,-79.1473,0.1189,2.700636336
329,987.7,2022/8/23 3:11,1536.2353,-78.3268,0.1197,2.71855789
330,986.9,2022/8/23 3:11,1537.4506,-78.4538,0.1181,2.68271148
331,986.1,2022/8/23 3:12,1537.2929,-78.7457,0.1181,2.68271148
332,985.3,2022/8/23 3:12,1537.3089,-78.488,0.1186,2.693914902
333,984.5,2022/8/23 3:13,1537.2788,-78.4282,0.1181,2.68271148
334,983.7,2022/8/23 3:13,1537.6273,-78.3804,0.1181,2.68271148
335,982.9,2022/8/23 3:14,1537.6755,-79.5245,0.1185,2.691674321
336,982.2,2022/8/23 3:14,1537.5939,-80.2417,0.1168,2.653576546
337,981.4,2022/8/23 3:15,1537.5349,-79.1703,0.1184,2.689433688
338,980.6,2022/8/23 3:15,1537.6301,-78.8607,0.117,2.658059411
339,979.8,2022/8/23 3:16,1537.5035,-78.6355,0.1168,2.653576546
340,979,2022/8/23 3:16,1538.26,-78.7046,0.1193,2.709597526
341,978.2,2022/8/23 3:17,1537.71,-78.7012,0.1173,2.664783322
342,977.4,2022/8/23 3:17,1537.8949,-78.9174,0.1166,2.649093474
343,976.6,2022/8/23 3:18,1537.3921,-78.6608,0.1157,2.628917096
344,975.7,2022/8/23 3:18,1538.0519,-78.579,0.1196,2.716317877
345,974.9,2022/8/23 3:19,1538.114,-78.4409,0.1207,2.740955192
346,974,2022/8/23 3:19,1537.2781,-79.0488,0.1168,2.653576546
347,973.2,2022/8/23 3:20,1537.5564,-78.1982,0.1194,2.711837694
348,972.4,2022/8/23 3:20,1537.3428,-78.8989,0.118,2.680470641
349,971.7,2022/8/23 3:21,1537.5151,-79.8513,0.1218,2.765586267
350,970.8,2022/8/23 3:21,1537.7368,-79.4907,0.116,2.63564302
351,970,2022/8/23 3:22,1537.9703,-79.2699,0.1155,2.624432889
352,969.1,2022/8/23 3:22,1537.7374,-78.8384,0.1168,2.653576546
353,968.4,2022/8/23 3:23,1537.4931,-77.9773,0.1173,2.664783322
354,967.6,2022/8/23 3:23,1537.662,-78.2979,0.1195,2.714077811
355,966.8,2022/8/23 3:24,1537.9517,-78.5269,0.1142,2.595280507
356,966,2022/8/23 3:24,1537.8279,-78.359,0.1162,2.640126711
