,350,450,550,650,750
92,1540.1157,1541.565,1543.0599,1544.6165,1544.8808
93,1540.1141,1541.565,1543.0614,1544.6173,1544.8776
94,1540.1141,1541.565,1543.0606,1544.6165,1544.8768
95,1540.1141,1541.565,1543.0614,1544.6157,1544.8728
96,1540.1141,1541.565,1543.0614,1544.6173,1544.872
97,1540.1141,1541.5642,1543.0614,1544.6157,1544.8696
98,1540.1141,1541.5642,1543.0614,1544.6165,1544.868
99,1540.1149,1541.5634,1543.0614,1544.6157,1544.8665
100,1540.1141,1541.565,1543.0614,1544.6165,1544.8633
101,1540.1149,1541.565,1543.0614,1544.6165,1544.8625
102,1540.1149,1541.5642,1543.0614,1544.6157,1544.8601
103,1540.1133,1541.5642,1543.0606,1544.6165,1544.8585
104,1540.1141,1541.5642,1543.0622,1544.6157,1544.8553
105,1540.1133,1541.5642,1543.0606,1544.6165,1544.8529
106,1540.1141,1541.5642,1543.0614,1544.6173,1544.8521
107,1540.1149,1541.5642,1543.0614,1544.6149,1544.8489
108,1540.1141,1541.5642,1543.0614,1544.6157,1544.8465
109,1540.1133,1541.5642,1543.0606,1544.6149,1544.8442
110,1540.1133,1541.5626,1543.0614,1544.6165,1544.841
111,1540.1149,1541.5642,1543.0614,1544.6157,1544.8394
112,1540.1141,1541.5634,1543.0614,1544.6157,1544.8386
113,1540.1141,1541.5642,1543.0614,1544.6149,1544.8354
114,1540.1141,1541.5626,1543.0606,1544.6157,1544.8314
115,1540.1141,1541.5618,1543.0606,1544.6165,1544.8306
116,1540.1141,1541.5642,1543.0606,1544.6165,1544.8298
117,1540.1141,1541.5642,1543.0606,1544.6157,1544.8266
118,1540.1141,1541.5642,1543.0606,1544.6157,1544.8251
119,1540.1141,1541.5642,1543.0606,1544.6165,1544.8227
120,1540.1141,1541.5634,1543.0606,1544.6157,1544.8211
121,1540.1141,1541.5634,1543.0606,1544.6165,1544.8187
122,1540.1141,1541.5642,1543.0614,1544.6157,1544.8155
123,1540.1149,1541.5658,1543.0614,1544.6165,1544.8131
124,1540.1149,1541.565,1543.0606,1544.6165,1544.8107
125,1540.1133,1541.5634,1543.0614,1544.6157,1544.8067
126,1540.1141,1541.5642,1543.0622,1544.6165,1544.8052
127,1540.1141,1541.565,1543.0614,1544.6173,1544.8036
128,1540.1149,1541.565,1543.0622,1544.6157,1544.8012
129,1540.1133,1541.5642,1543.0614,1544.6157,1544.7996
130,1540.1141,1541.565,1543.0622,1544.6165,1544.798
131,1540.1141,1541.565,1543.0614,1544.6165,1544.7948
132,1540.1141,1541.5658,1543.0622,1544.6165,1544.7932
133,1540.1141,1541.565,1543.0614,1544.6157,1544.7892
134,1540.1141,1541.565,1543.063,1544.6181,1544.7884
135,1540.1149,1541.5642,1543.063,1544.6157,1544.7861
136,1540.1141,1541.565,1543.0622,1544.6165,1544.7837
137,1540.1133,1541.5658,1543.0614,1544.6165,1544.7821
138,1540.1149,1541.5642,1543.0622,1544.6165,1544.7789
139,1540.1149,1541.565,1543.0614,1544.6157,1544.7773
140,1540.1149,1541.565,1543.0614,1544.6157,1544.7749
141,1540.1141,1541.5642,1543.063,1544.6157,1544.7741
142,1540.1141,1541.565,1543.0614,1544.6157,1544.7709
143,1540.1133,1541.5642,1543.0622,1544.6173,1544.7685
144,1540.1133,1541.5658,1543.0614,1544.6149,1544.7654
145,1540.1149,1541.5642,1543.0614,1544.6165,1544.7638
146,1540.1141,1541.5634,1543.0614,1544.6165,1544.7606
147,1540.1141,1541.5642,1543.0622,1544.6157,1544.759
148,1540.1149,1541.5634,1543.0614,1544.6157,1544.7574
149,1540.1141,1541.5634,1543.0622,1544.6149,1544.755
150,1540.1141,1541.5642,1543.0614,1544.6165,1544.7542
151,1540.1141,1541.5642,1543.0622,1544.6157,1544.7526
152,1540.1141,1541.5642,1543.0614,1544.6149,1544.7494
153,1540.1149,1541.565,1543.0622,1544.6157,1544.7463
154,1540.1141,1541.5634,1543.0614,1544.6165,1544.7447
155,1540.1141,1541.565,1543.0606,1544.6165,1544.7447
156,1540.1141,1541.565,1543.0614,1544.6165,1544.7407
157,1540.1149,1541.5642,1543.0606,1544.6149,1544.7391
158,1540.1149,1541.5626,1543.0622,1544.6149,1544.7375
159,1540.1141,1541.5634,1543.0606,1544.6149,1544.7343
160,1540.1141,1541.565,1543.0614,1544.6149,1544.7319
161,1540.1141,1541.5634,1543.0614,1544.6141,1544.7311
162,1540.1141,1541.5634,1543.0614,1544.6157,1544.7279
163,1540.1133,1541.565,1543.0614,1544.6149,1544.7264
164,1540.1141,1541.5642,1543.0614,1544.6149,1544.7256
165,1540.1149,1541.5634,1543.0622,1544.6149,1544.7232
166,1540.1141,1541.5634,1543.0614,1544.6149,1544.7208
167,1540.1149,1541.5642,1543.0622,1544.6157,1544.7184
168,1540.1157,1541.565,1543.0622,1544.6149,1544.716
169,1540.1149,1541.565,1543.0614,1544.6149,1544.712
170,1540.1157,1541.5634,1543.0622,1544.6149,1544.7128
171,1540.1141,1541.5658,1543.0614,1544.6157,1544.7104
172,1540.1141,1541.565,1543.0622,1544.6149,1544.7073
173,1540.1141,1541.5642,1543.0614,1544.6165,1544.7049
174,1540.1157,1541.5642,1543.0622,1544.6165,1544.7033
175,1540.1141,1541.5642,1543.0622,1544.6173,1544.7009
176,1540.1141,1541.5634,1543.0614,1544.6165,1544.6977
177,1540.1149,1541.5634,1543.0622,1544.6165,1544.6977
178,1540.1157,1541.5642,1543.0622,1544.6165,1544.6937
179,1540.1149,1541.565,1543.063,1544.6157,1544.6921
180,1540.1141,1541.5642,1543.0614,1544.6157,1544.6905
181,1540.1133,1541.5634,1543.0614,1544.6165,1544.6881
182,1540.1141,1541.5642,1543.063,1544.6157,1544.6881
183,1540.1149,1541.5626,1543.0606,1544.6149,1544.6842
184,1540.1149,1541.5642,1543.0606,1544.6149,1544.6826
185,1540.1149,1541.5634,1543.0622,1544.6149,1544.6794
186,1540.1157,1541.5642,1543.0606,1544.6165,1544.6778
187,1540.1157,1541.5634,1543.0622,1544.6157,1544.677
188,1540.1141,1541.5642,1543.0622,1544.6165,1544.6746
189,1540.1149,1541.5626,1543.0622,1544.6149,1544.6722
190,1540.1149,1541.5634,1543.0622,1544.6165,1544.6706
191,1540.1141,1541.5642,1543.0622,1544.6165,1544.6675
192,1540.1157,1541.5642,1543.0606,1544.6149,1544.6675
193,1540.1141,1541.5618,1543.0606,1544.6165,1544.6659
194,1540.1157,1541.5626,1543.0614,1544.6141,1544.6643
195,1540.1149,1541.565,1543.0614,1544.6157,1544.6635
196,1540.1149,1541.5642,1543.0606,1544.6157,1544.6635
197,1540.1165,1541.5634,1543.0606,1544.6157,1544.6611
198,1540.1149,1541.5642,1543.0606,1544.6149,1544.6611
199,1540.1149,1541.5634,1543.0606,1544.6157,1544.6595
200,1540.1252,1541.5745,1543.067,1544.6197,1543.0734
201,1540.126,1541.5753,1543.0678,1544.6197,1543.0734
202,1540.1252,1541.5737,1543.067,1544.6197,1543.0734
203,1540.1244,1541.5737,1543.067,1544.6189,1543.0742
204,1540.126,1541.5729,1543.067,1544.6197,1543.0742
205,1540.1244,1541.5753,1543.0678,1544.6189,1543.0734
206,1540.126,1541.5737,1543.0686,1544.6205,1543.0734
207,1540.126,1541.5745,1543.0678,1544.6205,1543.0742
208,1540.126,1541.5753,1543.0678,1544.6189,1543.0734
209,1540.126,1541.5745,1543.067,1544.6205,1543.0734
210,1540.126,1541.5745,1543.067,1544.6205,1543.0734
211,1540.126,1541.5745,1543.067,1544.6197,1543.0742
212,1540.126,1541.5745,1543.0678,1544.6213,1543.0734
213,1540.126,1541.5737,1543.0678,1544.6197,1543.0734
214,1540.1268,1541.5737,1543.0678,1544.6197,1543.0726
215,1540.1268,1541.5745,1543.0678,1544.6197,1543.0742
216,1540.1268,1541.5753,1543.0678,1544.6189,1543.0734
217,1540.1268,1541.5745,1543.0678,1544.6197,1543.0734
218,1540.126,1541.5745,1543.0678,1544.6197,1543.0734
219,1540.126,1541.5729,1543.067,1544.6189,1543.0734
220,1540.1252,1541.5745,1543.067,1544.6197,1543.0742
221,1540.126,1541.5737,1543.0678,1544.6189,1543.0742
222,1540.126,1541.5745,1543.067,1544.6189,1543.0726
223,1540.1252,1541.5745,1543.0678,1544.6197,1543.0742
224,1540.126,1541.5753,1543.067,1544.6197,1543.0734
225,1540.1244,1541.5753,1543.067,1544.6197,1543.0749
226,1540.1252,1541.5745,1543.0678,1544.6213,1543.0742
227,1540.126,1541.5753,1543.067,1544.6189,1543.0734
228,1540.1252,1541.5745,1543.067,1544.6197,1543.0749
229,1540.1252,1541.5745,1543.0678,1544.6189,1543.0734
230,1540.126,1541.5745,1543.0678,1544.6205,1543.0742
231,1540.1244,1541.5729,1543.0678,1544.6181,1543.0734
232,1540.1252,1541.5753,1543.0678,1544.6205,1543.0734
233,1540.1252,1541.5745,1543.067,1544.6197,1543.0742
234,1540.1252,1541.5753,1543.067,1544.6205,1543.0734
235,1540.126,1541.5737,1543.067,1544.6197,1543.0734
236,1540.126,1541.5737,1543.0678,1544.6197,1543.0742
237,1540.1252,1541.5753,1543.067,1544.6189,1543.0734
238,1540.1252,1541.5761,1543.0686,1544.6197,1543.0718
239,1540.1244,1541.5737,1543.0662,1544.6197,1543.0734
240,1540.126,1541.5753,1543.0678,1544.6197,1543.0734
241,1540.1244,1541.5753,1543.067,1544.6213,1543.0734
242,1540.126,1541.5761,1543.0678,1544.6197,1543.0734
243,1540.1244,1541.5761,1543.0678,1544.6197,1543.0734
244,1540.126,1541.5753,1543.067,1544.6205,1543.0726
245,1540.1244,1541.5737,1543.067,1544.6189,1543.0742
246,1540.1252,1541.5753,1543.067,1544.6197,1543.0726
247,1540.1252,1541.5745,1543.0678,1544.6197,1543.0734
248,1540.1252,1541.5737,1543.067,1544.6197,1543.0734
249,1540.1252,1541.5745,1543.0678,1544.6197,1543.0726
250,1540.126,1541.5737,1543.067,1544.6197,1543.0726
251,1540.126,1541.5753,1543.0678,1544.6197,1543.0742
252,1540.126,1541.5745,1543.0686,1544.6197,1543.0726
253,1540.1252,1541.5729,1543.0686,1544.6189,1543.0734
254,1540.1252,1541.5729,1543.0678,1544.6197,1543.0726
255,1540.1244,1541.5737,1543.0686,1544.6197,1543.0734
256,1540.126,1541.5761,1543.0662,1544.6205,1543.0726
257,1540.126,1541.5737,1543.0678,1544.6197,1543.0734
258,1540.1252,1541.5745,1543.067,1544.6197,1543.0734
259,1540.126,1541.5745,1543.0678,1544.6205,1543.0734
260,1540.1244,1541.5737,1543.0678,1544.6205,1543.0734
261,1540.1252,1541.5753,1543.0686,1544.6213,1543.0734
262,1540.1244,1541.5729,1543.0686,1544.6197,1543.0734
263,1540.1252,1541.5753,1543.0678,1544.6189,1543.0734
264,1540.1252,1541.5745,1543.0678,1544.6205,1543.0734
265,1540.1244,1541.5745,1543.0678,1544.6205,1543.0742
266,1540.1244,1541.5745,1543.0678,1544.6205,1543.0742
267,1540.1244,1541.5745,1543.0678,1544.6197,1543.0726
268,1540.1244,1541.5737,1543.067,1544.6189,1543.0734
269,1540.1244,1541.5737,1543.0678,1544.6205,1543.0734
270,1540.1244,1541.5745,1543.0678,1544.6205,1543.0726
271,1540.1244,1541.5745,1543.0678,1544.6189,1543.0734
272,1540.1244,1541.5753,1543.0678,1544.6205,1543.0734
273,1540.1244,1541.5753,1543.067,1544.6213,1543.0734
274,1540.1252,1541.5737,1543.0678,1544.6189,1543.0726
275,1540.1252,1541.5737,1543.067,1544.6197,1543.0742
276,1540.1244,1541.5745,1543.067,1544.6189,1543.0734
277,1540.1252,1541.5761,1543.067,1544.6197,1543.0734
278,1540.1252,1541.5745,1543.067,1544.6205,1543.0742
279,1540.1244,1541.5745,1543.0662,1544.6197,1543.0726
280,1540.126,1541.5737,1543.067,1544.6213,1543.0742
281,1540.126,1541.5745,1543.0678,1544.6205,1543.0734
282,1540.1252,1541.5753,1543.0654,1544.6197,1543.0742
283,1540.126,1541.5745,1543.0662,1544.6197,1543.0742
284,1540.126,1541.5745,1543.067,1544.6197,1543.0742
285,1540.126,1541.5745,1543.067,1544.6197,1543.0726
286,1540.126,1541.5745,1543.0678,1544.6205,1543.0742
287,1540.1252,1541.5753,1543.0662,1544.6197,1543.0742
288,1540.1252,1541.5745,1543.0662,1544.6197,1543.0734
289,1540.1268,1541.5745,1543.067,1544.6197,1543.0742
290,1540.1268,1541.5745,1543.0662,1544.6197,1543.0742
291,1540.1276,1541.5745,1543.0678,1544.6205,1543.0749
292,1540.1268,1541.5745,1543.067,1544.6205,1543.0734
293,1540.1268,1541.5729,1543.067,1544.6197,1543.0734
294,1540.1268,1541.5737,1543.0678,1544.6197,1543.0734
295,1540.1276,1541.5745,1543.067,1544.6189,1543.0742
296,1540.126,1541.5753,1543.0678,1544.6189,1543.0734
297,1540.1268,1541.5729,1543.0678,1544.6197,1543.0734
298,1540.1276,1541.5753,1543.0662,1544.6189,1543.0734
299,1540.1268,1541.5729,1543.0678,1544.6189,1543.0734
300,1540.1268,1541.5745,1543.0678,1544.6189,1543.0734
301,1540.126,1541.5745,1543.0678,1544.6197,1543.0742
302,1540.1268,1541.5745,1543.067,1544.6189,1543.0734
303,1540.1244,1541.5729,1543.067,1544.6205,1543.0742
304,1540.1276,1541.5753,1543.067,1544.6197,1543.0734
305,1540.126,1541.5737,1543.067,1544.6197,1543.0726
306,1540.126,1541.5729,1543.067,1544.6197,1543.0726
307,1540.1268,1541.5745,1543.067,1544.6189,1543.0726
308,1540.126,1541.5753,1543.0678,1544.6197,1543.0726
309,1540.126,1541.5745,1543.067,1544.6197,1543.0718
310,1540.1268,1541.5745,1543.0678,1544.6189,1543.0726
311,1540.1268,1541.5753,1543.067,1544.6197,1543.0694
312,1540.126,1541.5745,1543.067,1544.6197,1543.0694
313,1540.126,1541.5745,1543.067,1544.6197,1543.0686
314,1540.126,1541.5729,1543.0654,1544.6197,1543.0678
315,1540.126,1541.5737,1543.067,1544.6197,1543.0662
316,1540.126,1541.5737,1543.0678,1544.6213,1543.0646
317,1540.126,1541.5753,1543.0662,1544.6197,1543.063
318,1540.126,1541.5753,1543.067,1544.6197,1543.0622
319,1540.126,1541.5737,1543.067,1544.6197,1543.0599
320,1540.1268,1541.5745,1543.067,1544.6189,1543.0583
321,1540.126,1541.5745,1543.067,1544.6197,1543.0567
322,1540.126,1541.5737,1543.067,1544.6197,1543.0551
323,1540.126,1541.5745,1543.067,1544.6189,1543.0535
324,1540.126,1541.5753,1543.0662,1544.6197,1543.0519
325,1540.126,1541.5745,1543.067,1544.6205,1543.0495
326,1540.126,1541.5745,1543.0662,1544.6197,1543.0479
327,1540.126,1541.5745,1543.0662,1544.6189,1543.0464
328,1540.126,1541.5753,1543.067,1544.6189,1543.0448
329,1540.126,1541.5753,1543.067,1544.6189,1543.0424
330,1540.1268,1541.5753,1543.067,1544.6189,1543.0408
331,1540.126,1541.5745,1543.067,1544.6205,1543.0376
332,1540.1268,1541.5753,1543.067,1544.6197,1543.036
333,1540.126,1541.5761,1543.0678,1544.6197,1543.0344
334,1540.126,1541.5761,1543.0662,1544.6197,1543.0329
335,1540.1268,1541.5761,1543.067,1544.6197,1543.0305
336,1540.126,1541.5737,1543.0678,1544.6189,1543.0297
337,1540.126,1541.5745,1543.067,1544.6197,1543.0281
338,1540.1268,1541.5753,1543.0678,1544.6189,1543.0249
339,1540.126,1541.5745,1543.0678,1544.6205,1543.0249
340,1540.126,1541.5745,1543.0678,1544.6197,1543.0209
341,1540.126,1541.5753,1543.0678,1544.6197,1543.0201
342,1540.126,1541.5753,1543.0686,1544.6197,1543.0178
343,1540.1276,1541.5745,1543.0686,1544.6205,1543.0154
344,1540.1268,1541.5745,1543.0694,1544.6197,1543.013
345,1540.126,1541.5761,1543.0686,1544.6197,1543.0114
346,1540.1268,1541.5737,1543.0686,1544.6189,1543.0098
347,1540.1276,1541.5745,1543.0694,1544.6197,1543.0082
348,1540.126,1541.5753,1543.0694,1544.6189,1543.0051
349,1540.1268,1541.5761,1543.0694,1544.6197,1543.0035
350,1540.1268,1541.5753,1543.0694,1544.6205,1543.0019
351,1540.1268,1541.5745,1543.0694,1544.6197,1542.9995
352,1540.1268,1541.5761,1543.0686,1544.6205,1542.9971
353,1540.1268,1541.5753,1543.0686,1544.6197,1542.9963
354,1540.1268,1541.5753,1543.0694,1544.6197,1542.9947
355,1540.1268,1541.5745,1543.0678,1544.6189,1542.9916
356,1540.1276,1541.5761,1543.0686,1544.6205,1542.99
357,1540.1268,1541.5753,1543.0694,1544.6197,1542.9892
358,1540.1268,1541.5753,1543.0678,1544.6213,1542.9852
359,1540.1276,1541.5745,1543.0678,1544.6197,1542.9844
360,1540.1268,1541.5753,1543.0678,1544.6205,1542.9812
361,1540.1268,1541.5753,1543.0686,1544.6197,1542.9804
362,1540.1268,1541.5753,1543.0678,1544.6205,1542.9781
363,1540.1268,1541.5753,1543.0686,1544.6197,1542.9757
364,1540.126,1541.5761,1543.067,1544.6197,1542.9741
365,1540.1276,1541.5753,1543.0678,1544.6197,1542.9725
366,1540.1252,1541.5745,1543.0678,1544.6181,1542.9701
367,1540.1276,1541.5745,1543.0678,1544.6197,1542.9677
368,1540.1268,1541.5753,1543.0678,1544.6197,1542.9653
369,1540.1268,1541.5753,1543.0678,1544.6197,1542.9638
370,1540.126,1541.5769,1543.0678,1544.6197,1542.9622
371,1540.1276,1541.5745,1543.0678,1544.6205,1542.9598
372,1540.1268,1541.5753,1543.0678,1544.6205,1542.9582
373,1540.1268,1541.5745,1543.0678,1544.6205,1542.9558
374,1540.1268,1541.5745,1543.0678,1544.6213,1542.9542
375,1540.126,1541.5745,1543.0678,1544.6205,1542.9518
376,1540.126,1541.5753,1543.067,1544.6197,1542.9503
377,1540.1268,1541.5753,1543.0678,1544.6197,1542.9479
378,1540.126,1541.5753,1543.067,1544.6205,1542.9455
379,1540.126,1541.5761,1543.0678,1544.6189,1542.9439
380,1540.126,1541.5753,1543.0678,1544.6205,1542.9415
381,1540.126,1541.5745,1543.0678,1544.6197,1542.9399
382,1540.1276,1541.5745,1543.067,1544.6205,1542.9376
383,1540.126,1541.5753,1543.0678,1544.6197,1542.9352
384,1540.126,1541.5753,1543.0686,1544.6205,1542.9336
385,1540.1268,1541.5745,1543.0678,1544.6189,1542.932
386,1540.126,1541.5745,1543.0686,1544.6197,1542.9296
387,1540.1276,1541.5745,1543.0686,1544.6205,1542.9288
388,1540.1276,1541.5753,1543.0686,1544.6205,1542.9256
389,1540.126,1541.5769,1543.0678,1544.6181,1542.9233
390,1540.1252,1541.5761,1543.0686,1544.6205,1542.9225
391,1540.126,1541.5745,1543.0678,1544.6205,1542.9201
392,1540.126,1541.5737,1543.0678,1544.6197,1542.9177
393,1540.1268,1541.5753,1543.0686,1544.6213,1542.9161
394,1540.1268,1541.5753,1543.0678,1544.6205,1542.9145
395,1540.126,1541.5745,1543.0678,1544.6197,1542.9121
396,1540.126,1541.5753,1543.0678,1544.6205,1542.909
397,1540.1268,1541.5745,1543.0686,1544.6197,1542.9074
398,1540.1268,1541.5769,1543.0678,1544.6197,1542.905
399,1540.126,1541.5769,1543.0678,1544.6197,1542.9034
400,1540.1347,1541.5777,1543.0726,1544.6277,1540.2265
401,1540.1347,1541.5792,1543.0742,1544.6277,1540.2241
402,1540.1355,1541.5777,1543.0734,1544.6277,1540.2233
403,1540.1347,1541.5785,1543.0742,1544.6277,1540.221
404,1540.1355,1541.5777,1543.0734,1544.6277,1540.2194
405,1540.1347,1541.5785,1543.0734,1544.6269,1540.2178
406,1540.1347,1541.5785,1543.0742,1544.6261,1540.2154
407,1540.1347,1541.5785,1543.0734,1544.6277,1540.2138
408,1540.1347,1541.5777,1543.0734,1544.6285,1540.2115
409,1540.1347,1541.5769,1543.0749,1544.6269,1540.2091
410,1540.1355,1541.5777,1543.0742,1544.6269,1540.2075
411,1540.1347,1541.5777,1543.0742,1544.6269,1540.2059
412,1540.1355,1541.5785,1543.0742,1544.6277,1540.2036
413,1540.1339,1541.5785,1543.0734,1544.6261,1540.2012
414,1540.1347,1541.5777,1543.0742,1544.6269,1540.2004
415,1540.1347,1541.5777,1543.0749,1544.6269,1540.1988
416,1540.1347,1541.5792,1543.0742,1544.6269,1540.1956
417,1540.1347,1541.5785,1543.0742,1544.6269,1540.1941
418,1540.1355,1541.5792,1543.0742,1544.6277,1540.1909
419,1540.1355,1541.5777,1543.0742,1544.6269,1540.1885
420,1540.1355,1541.5777,1543.0742,1544.6269,1540.1861
421,1540.1347,1541.5792,1543.0734,1544.6277,1540.1822
422,1540.1355,1541.5777,1543.0742,1544.6269,1540.179
423,1540.1363,1541.5769,1543.0734,1544.6261,1540.1759
424,1540.1355,1541.5785,1543.0734,1544.6269,1540.1719
425,1540.1347,1541.5785,1543.0742,1544.6261,1540.1679
426,1540.1339,1541.5785,1543.0734,1544.6269,1540.164
427,1540.1355,1541.5777,1543.0742,1544.6269,1540.1592
428,1540.1347,1541.5785,1543.0742,1544.6277,1540.1553
429,1540.1347,1541.5785,1543.0742,1544.6269,1540.1513
430,1540.1347,1541.5785,1543.0734,1544.6269,1540.145
431,1540.1339,1541.5769,1543.0734,1544.6277,1540.141
432,1540.1347,1541.5777,1543.0734,1544.6269,1540.1363
433,1540.1355,1541.5777,1543.0749,1544.6269,1540.1315
434,1540.1347,1541.5777,1543.0742,1544.6269,1540.1268
435,1540.1347,1541.5777,1543.0734,1544.6269,1540.1221
436,1540.1355,1541.5777,1543.0734,1544.6277,1540.1157
437,1540.1347,1541.5769,1543.0734,1544.6269,1540.1118
438,1540.1355,1541.5777,1543.0734,1544.6269,1540.1054
439,1540.1355,1541.5769,1543.0742,1544.6277,1540.0999
440,1540.1355,1541.5769,1543.0734,1544.6269,1540.0952
441,1540.1355,1541.5769,1543.0742,1544.6261,1540.0904
442,1540.1363,1541.5785,1543.0742,1544.6285,1540.0849
443,1540.1355,1541.5769,1543.0734,1544.6269,1540.0801
444,1540.1355,1541.5769,1543.0742,1544.6277,1540.0738
