,Unnamed: 0,time,temperature,ctwl/nm,thresh/dBm,notch/dB,reflection/%
44,44,2022/8/30 0:37:02,680.1,1543.7648,-40.3795,22.6047,99.45105352582358
45,45,2022/8/30 0:37:32,693.5,1544.0043,-40.4378,21.2074,99.24271387456744
46,46,2022/8/30 0:38:02,707.1,1544.3728,-40.6076,15.925300000000004,97.44453463032694
47,47,2022/8/30 0:38:32,720.6,1544.7202,-40.6187,17.758899999999997,98.32463283340797
48,48,2022/8/30 0:39:02,734.3,1544.7715,-40.6792,15.77,97.3514998613933
49,49,2022/8/30 0:39:32,747.9,1544.77,-40.686,15.439399999999996,97.1420146386294
50,50,2022/8/30 0:40:02,761.7,1544.9274,-40.68,16.622999999999998,97.82379401681428
51,51,2022/8/30 0:40:32,775.4,1545.1322,-40.7208,15.948699999999995,97.45826657583757
52,52,2022/8/30 0:41:02,789.2,1545.3356,-40.7653,15.255700000000004,97.01853304650007
53,53,2022/8/30 0:41:32,802.9,1545.5442,-40.8152,14.646700000000004,96.56971661316847
54,54,2022/8/30 0:42:02,816.7,1545.7517,-40.862,13.937199999999997,95.96094283320845
55,55,2022/8/30 0:42:32,830.5,1545.9629,-40.9087,13.243399999999996,95.26129143505104
56,56,2022/8/30 0:43:02,844.3,1546.1707,-40.9566,12.482999999999999,94.3545313507001
57,57,2022/8/30 0:43:32,855.3,1546.3844,-41.0107,11.814799999999998,93.41554248207356
58,58,2022/8/30 0:44:02,859.4,1546.5967,-41.0793,11.009800000000002,92.07462172644168
59,59,2022/8/30 0:44:32,861.8,1546.7644,-41.1337,10.4149,90.91112773273557
60,60,2022/8/30 0:45:02,863.8,1546.8814,-41.2014,9.7845,89.49127565938639
61,61,2022/8/30 0:45:32,865.3,1546.9671,-41.2728,9.2255,88.04774087716211
62,62,2022/8/30 0:46:02,866.1,1547.0288,-41.3454,8.724699999999999,86.58687413203708
63,63,2022/8/30 0:46:32,866.5,1547.0832,-41.4173,8.303500000000003,85.22083152157211
64,64,2022/8/30 0:47:02,866.6,1547.1168,-41.4903,7.932399999999999,83.90244194601148
65,65,2022/8/30 0:47:32,866.6,1547.1429,-41.55,7.637299999999997,82.77060609980242
66,66,2022/8/30 0:48:02,866.5,1547.1653,-41.6151,7.335399999999998,81.53029325210314
67,67,2022/8/30 0:48:32,866.3,1547.1832,-41.6723,7.058199999999996,80.31297920632201
68,68,2022/8/30 0:49:02,866.2,1547.199,-41.7428,6.788500000000004,79.05164138409971
69,69,2022/8/30 0:49:32,866.0,1547.215,-41.8185,6.511300000000005,77.67096265826672
70,70,2022/8/30 0:50:02,865.8,1547.2307,-41.88,6.3519,76.83618967982267
71,71,2022/8/30 0:50:32,865.6,1547.2405,-41.9401,6.160800000000004,75.79416882222405
72,72,2022/8/30 0:51:02,865.4,1547.2593,-41.9985,5.979199999999997,74.76054342366501
73,73,2022/8/30 0:51:32,865.2,1547.2718,-42.0873,5.782899999999999,73.59355121291944
74,74,2022/8/30 0:52:02,865.0,1547.2836,-42.1212,5.6525,72.78865553760895
75,75,2022/8/30 0:52:32,864.9,1547.2989,-42.1906,5.468299999999998,71.60969880601702
76,76,2022/8/30 0:53:02,864.7,1547.3102,-42.2584,5.317999999999997,70.60997198828852
77,77,2022/8/30 0:53:32,864.6,1547.3203,-42.3196,5.178999999999997,69.65410156111196
78,78,2022/8/30 0:54:02,864.4,1547.3318,-42.4061,5.014099999999994,68.4797248443201
79,79,2022/8/30 0:54:32,864.2,1547.344,-42.4367,4.9316,67.87523199589688
80,80,2022/8/30 0:55:02,864.3,1547.3536,-42.536,4.722400000000004,66.2899031703598
81,81,2022/8/30 0:55:32,864.2,1547.4211,-42.5656,4.6534,65.75004541183912
82,82,2022/8/30 0:56:02,864.1,1547.433,-42.6548,4.483299999999994,64.38196141883725
83,83,2022/8/30 0:56:32,863.9,1547.4456,-42.7044,4.409399999999997,63.77069524064144
84,84,2022/8/30 0:57:02,863.8,1547.4634,-42.76,4.293700000000001,62.792542016617794
85,85,2022/8/30 0:57:32,863.7,1547.475,-42.8595,4.177200000000001,61.780940119010104
86,86,2022/8/30 0:58:02,863.5,1547.49,-42.9131,4.037699999999996,60.53337401523304
87,87,2022/8/30 0:58:32,863.5,1547.5072,-42.9732,3.9512999999999985,59.74034953653905
88,88,2022/8/30 0:59:02,863.3,1547.5166,-43.055,3.8796999999999935,59.07110685687026
89,89,2022/8/30 0:59:32,863.2,1547.5287,-43.1123,3.738800000000004,57.72145819440425
90,90,2022/8/30 1:00:02,863.1,1547.5407,-43.1771,3.6796,57.14120070074205
91,91,2022/8/30 1:00:32,863.0,1547.5566,-43.2586,3.591099999999999,56.25886983152533
92,92,2022/8/30 1:01:02,862.9,1547.5662,-43.3231,3.467100000000004,54.99197044554904
93,93,2022/8/30 1:01:32,862.6,1547.5814,-43.3805,3.4152999999999967,54.45192784145861
94,94,2022/8/30 1:02:02,862.5,1547.5947,-43.4889,3.334099999999994,53.59230480817308
95,95,2022/8/30 1:02:32,862.4,1547.6059,-43.5397,3.2341,52.51133072230232
96,96,2022/8/30 1:03:02,862.3,1547.6157,-43.6338,3.1616000000000017,51.71191306212662
97,97,2022/8/30 1:03:32,862.3,1547.6257,-43.6988,3.062699999999997,50.59965294585223
98,98,2022/8/30 1:04:02,862.2,1547.6388,-43.7624,3.0055,49.944707907335605
99,99,2022/8/30 1:04:32,862.1,1547.6529,-43.8729,2.908299999999999,48.8117832789021
100,100,2022/8/30 1:05:02,862.0,1547.6645,-43.9092,2.845299999999997,48.06382039740241
101,101,2022/8/30 1:05:32,861.9,1547.6769,-44.0045,2.7856,47.34495357664036
102,102,2022/8/30 1:06:02,861.9,1547.6931,-44.1164,2.695500000000005,46.24114626083008
103,103,2022/8/30 1:06:32,861.7,1547.7034,-44.1532,2.649599999999999,45.66996309986873
104,104,2022/8/30 1:07:02,861.7,1547.7127,-44.2817,2.565599999999996,44.60889869823376
105,105,2022/8/30 1:07:32,861.6,1547.7247,-44.3189,2.498399999999996,43.74514624416561
106,106,2022/8/30 1:08:02,861.5,1547.7382,-44.4081,2.4544000000000006,43.17231035085148
107,107,2022/8/30 1:08:32,861.4,1547.7494,-44.5077,2.3514999999999993,41.80977988415645
108,108,2022/8/30 1:09:02,861.3,1547.7631,-44.567,2.3311,41.53580152814244
109,109,2022/8/30 1:09:32,861.2,1547.7757,-44.6826,2.281199999999997,40.86017977645816
110,110,2022/8/30 1:10:02,861.1,1547.7842,-44.751,2.224,40.07610974165218
111,111,2022/8/30 1:10:32,861.1,1547.799,-44.8419,2.190500000000004,39.61208987767285
112,112,2022/8/30 1:11:02,861.1,1547.8118,-44.9789,2.1187000000000022,38.60542462336007
113,113,2022/8/30 1:11:32,860.9,1547.8239,-45.0035,2.0973999999999986,38.30357493805547
114,114,2022/8/30 1:12:02,860.9,1547.8327,-45.1615,2.0178999999999987,37.16378746094673
115,115,2022/8/30 1:12:32,860.8,1547.8442,-45.1924,1.9949999999999988,36.83158207124844
116,116,2022/8/30 1:13:02,860.7,1547.8556,-45.3068,1.9523999999999988,36.2089133805261
117,117,2022/8/30 1:13:32,860.5,1547.8657,-45.386,1.9112999999999984,35.60235287195077
118,118,2022/8/30 1:14:02,860.5,1547.8769,-45.4843,1.8802000000000012,35.139543648352344
119,119,2022/8/30 1:14:32,860.5,1547.8903,-45.6098,1.818300000000002,34.2084679020702
120,120,2022/8/30 1:15:02,860.4,1547.9007,-45.6668,1.7413000000000045,33.031588119597885
121,121,2022/8/30 1:15:32,860.3,1547.9116,-45.8272,1.6842000000000008,32.14528980179598
122,122,2022/8/30 1:16:02,860.2,1547.9253,-45.8701,1.6636999999999975,31.824238117277847
123,123,2022/8/30 1:16:32,860.1,1547.9318,-46.0449,1.6080999999999945,30.945815627693065
124,124,2022/8/30 1:17:02,860.1,1547.9439,-46.0695,1.5891999999999975,30.644644846407207
125,125,2022/8/30 1:17:32,859.9,1547.9533,-46.2232,1.5367999999999995,29.802765975383892
126,126,2022/8/30 1:18:02,859.9,1547.9658,-46.2917,1.5223000000000013,29.56800338513396
127,127,2022/8/30 1:18:32,859.8,1547.9764,-46.3994,1.476800000000002,28.826225175219545
128,128,2022/8/30 1:19:02,859.7,1547.9874,-46.5146,1.4609999999999963,28.566817384394813
129,129,2022/8/30 1:19:32,859.6,1547.9988,-46.5949,1.4293000000000005,28.04350511759733
130,130,2022/8/30 1:20:02,859.5,1548.0075,-46.7258,1.4087999999999992,27.7030460127462
131,131,2022/8/30 1:20:32,859.4,1548.0175,-46.8359,1.3746999999999971,27.133149258794155
132,132,2022/8/30 1:21:02,859.3,1548.0276,-46.9554,1.3460999999999999,26.651708886106647
133,133,2022/8/30 1:21:32,859.2,1548.0405,-47.0424,1.317299999999996,26.16368736725652
134,134,2022/8/30 1:22:02,859.1,1548.0514,-47.2333,1.273699999999998,25.418691262945767
135,135,2022/8/30 1:22:32,859.0,1548.0618,-47.2755,1.2611000000000017,25.20199751255053
136,136,2022/8/30 1:23:02,858.9,1548.0735,-47.4293,1.2263000000000044,24.600233662705808
137,137,2022/8/30 1:23:32,858.8,1548.082,-47.5182,1.2183000000000017,24.461214157933487
138,138,2022/8/30 1:24:02,858.7,1548.09,-47.6933,1.1838000000000004,23.85875040099651
139,139,2022/8/30 1:24:32,858.6,1548.102,-47.7537,1.171599999999998,23.644557209369843
140,140,2022/8/30 1:25:02,858.6,1548.1122,-47.9344,1.1307999999999985,22.923852352404783
141,141,2022/8/30 1:25:32,858.5,1548.1231,-48.0001,1.1251000000000004,22.82262553667781
142,142,2022/8/30 1:26:02,858.3,1548.1346,-48.1628,1.1018000000000017,22.407454421513336
143,143,2022/8/30 1:26:32,858.2,1548.1432,-48.2633,1.083699999999998,22.083398786450537
144,144,2022/8/30 1:27:02,858.0,1548.1517,-48.4567,1.0607999999999953,21.67146570162257
145,145,2022/8/30 1:27:32,857.8,1548.1613,-48.5243,1.0447000000000009,21.380550233565852
146,146,2022/8/30 1:28:02,857.6,1548.169,-48.7054,1.0113000000000003,20.77358582456541
147,147,2022/8/30 1:28:32,857.4,1548.1803,-48.782,1.0074000000000012,20.702407901671805
148,148,2022/8/30 1:29:02,857.3,1548.1884,-48.9849,0.9922999999999974,20.426217962275935
149,149,2022/8/30 1:29:32,857.1,1548.1993,-49.0616,0.9787000000000008,20.176640839021
150,150,2022/8/30 1:30:02,857.1,1548.2047,-49.2181,0.9997999999999998,20.56351842663716
151,151,2022/8/30 1:30:32,857.0,1548.2186,-49.3489,1.0069999999999957,20.69510398718013
152,152,2022/8/30 1:31:02,857.0,1548.2269,-49.5128,1.0130000000000046,20.804592100872252
153,153,2022/8/30 1:31:32,857.0,1548.2351,-49.6562,1.0333999999999959,21.17572226646408
154,154,2022/8/30 1:32:02,856.9,1548.2465,-49.8015,1.0382000000000011,21.262793951309465
155,155,2022/8/30 1:32:32,856.9,1548.2547,-49.96,1.047000000000002,21.42217564409912
156,156,2022/8/30 1:33:02,856.9,1548.2611,-50.1074,1.0511999999999992,21.49813040413745
157,157,2022/8/30 1:33:32,856.9,1548.2729,-50.3077,1.0695000000000028,21.828220200477762
158,158,2022/8/30 1:34:02,856.9,1548.2828,-50.4062,1.0744999999999982,21.918167000431907
159,159,2022/8/30 1:34:32,856.9,1548.2935,-50.5844,1.0979999999999968,22.33953260391628
160,160,2022/8/30 1:35:02,856.9,1548.2997,-50.7247,1.1131000000000006,22.60908168445903
161,161,2022/8/30 1:35:32,856.8,1548.3078,-50.9291,1.1159000000000012,22.65896137237665
162,162,2022/8/30 1:36:02,856.9,1548.3171,-51.0657,1.0654000000000017,21.754386512557577
163,163,2022/8/30 1:36:32,856.8,1548.3247,-51.2663,1.0821999999999958,22.05648269780657
164,164,2022/8/30 1:37:02,856.8,1548.3328,-51.4572,1.0860000000000012,22.124652070752425
165,165,2022/8/30 1:37:32,856.8,1548.3414,-51.5788,1.102300000000006,22.416387079237264
166,166,2022/8/30 1:38:02,856.8,1548.3495,-51.8297,1.1142999999999994,22.63046263141758
167,167,2022/8/30 1:38:32,856.8,1548.3589,-51.9469,1.1273000000000046,22.86171127986485
168,168,2022/8/30 1:39:02,856.7,1548.3677,-52.1665,1.137600000000004,23.044440506090975
169,169,2022/8/30 1:39:32,856.7,1548.3755,-52.3434,1.157200000000001,23.390963556361697
170,170,2022/8/30 1:40:02,856.6,1548.3851,-52.5129,1.1604000000000054,23.447390389492494
171,171,2022/8/30 1:40:32,856.6,1548.3906,-52.7838,1.1596999999999986,23.435050572206997
172,172,2022/8/30 1:41:02,856.6,1548.4006,-52.8982,1.1703999999999963,23.6234565058135
173,173,2022/8/30 1:41:32,856.6,1548.4068,-53.1501,1.191999999999998,24.002378563896233
174,174,2022/8/30 1:42:02,856.6,1548.4176,-53.3154,1.204199999999998,24.215567990825047
175,175,2022/8/30 1:42:32,856.6,1548.425,-53.5386,1.1949000000000018,24.053109011555584
176,176,2022/8/30 1:43:02,856.6,1548.4349,-53.7637,1.2286000000000028,24.640154397806636
177,177,2022/8/30 1:43:32,856.6,1548.4404,-53.969,1.2386999999999992,24.81520844676761
178,178,2022/8/30 1:44:02,856.6,1548.4491,-54.2545,1.2548000000000008,25.09341465261673
179,179,2022/8/30 1:44:32,856.6,1548.4555,-54.4525,1.274100000000002,25.425560139006095
180,180,2022/8/30 1:45:02,856.5,1548.4645,-54.6792,1.2713999999999976,25.379182945939856
181,181,2022/8/30 1:45:32,856.5,1548.4745,-54.9133,1.2628999999999997,25.232992266773888
182,182,2022/8/30 1:46:02,856.5,1548.48,-55.1527,1.286300000000002,25.634757240139983
183,183,2022/8/30 1:46:32,856.5,1548.4859,-55.4593,1.2882999999999971,25.668995815694583
184,184,2022/8/30 1:47:02,856.5,1548.4927,-55.6942,1.302999999999995,25.920166084725892
185,185,2022/8/30 1:47:32,856.4,1548.5035,-55.9298,1.312599999999994,26.083737348894008
186,186,2022/8/30 1:48:02,856.4,1548.5095,-56.2715,1.329299999999999,26.36742303775138
187,187,2022/8/30 1:48:32,856.4,1548.5162,-56.4871,1.2921000000000027,25.73400568593221
188,188,2022/8/30 1:49:02,856.4,1548.5231,-56.7799,1.3165000000000027,26.150084963044183
189,189,2022/8/30 1:49:32,856.4,1548.5285,-57.1389,1.3225999999999976,26.253740035467008
190,190,2022/8/30 1:50:02,856.3,1548.5353,-57.3975,1.3274000000000008,26.33520238806681
191,191,2022/8/30 1:50:32,856.3,1548.5449,-57.711,1.3340999999999958,26.44875981266319
192,192,2022/8/30 1:51:02,856.4,1548.5521,-58.0474,1.333099999999998,26.431822063785003
193,193,2022/8/30 1:51:32,856.4,1548.5616,-58.3523,1.3342000000000063,26.450453373057723
194,194,2022/8/30 1:52:02,856.4,1548.5676,-58.7544,1.3338,26.44367889749989
195,195,2022/8/30 1:52:32,856.4,1548.5735,-59.0899,1.3344000000000056,26.45384037686167
196,196,2022/8/30 1:53:02,856.3,1548.5824,-59.4464,1.3302999999999976,26.38437561334625
197,197,2022/8/30 1:53:32,856.3,1548.5889,-59.879,1.3341999999999998,26.450453373057613
198,198,2022/8/30 1:54:02,856.3,1548.5957,-60.25,1.3244000000000007,26.28429896921504
199,199,2022/8/30 1:54:32,856.3,1548.6033,-60.6673,1.3288999999999973,26.360640914464952
200,200,2022/8/30 1:55:02,856.3,1548.6076,-61.1583,1.3297000000000028,26.374204536409973
201,201,2022/8/30 1:55:32,856.3,1548.616,-61.5549,1.3217,26.238455818330017
202,202,2022/8/30 1:56:02,856.3,1548.6192,-62.0454,1.3260000000000005,26.311451835055287
203,203,2022/8/30 1:56:32,856.3,1548.6266,-62.6461,1.3220999999999992,26.245249194761406
204,204,2022/8/30 1:57:02,856.2,1548.6325,-63.0652,1.324300000000001,26.282601582930095
205,205,2022/8/30 1:57:32,856.2,1548.6354,-63.633,1.3252999999999988,26.299573687138313
206,206,2022/8/30 1:58:02,856.2,1548.6421,-64.247,1.3145000000000027,26.116067988250855
207,207,2022/8/30 1:58:32,856.2,1548.6466,-64.8865,1.3175999999999988,26.16878762288164
208,208,2022/8/30 1:59:02,856.2,1548.651,-65.5227,1.3132999999999984,26.095650282714978
209,209,2022/8/30 1:59:32,856.2,1548.6562,-66.2144,1.3095999999999988,26.032660164137436
210,210,2022/8/30 2:00:02,856.2,1548.6592,-66.9669,1.3091000000000008,26.02414386920581
211,211,2022/8/30 2:00:32,856.1,1548.6634,-67.7777,1.296900000000001,25.81604215283768
212,212,2022/8/30 2:01:02,856.2,1548.6647,-68.6081,1.2987000000000035,25.846782459588255
213,213,2022/8/30 2:01:32,856.2,1548.6687,-69.4628,1.2992000000000061,25.855319172831457
214,214,2022/8/30 2:02:02,856.1,1548.6699,-70.3067,1.2931999999999988,25.752813718797952
215,215,2022/8/30 2:02:32,856.1,1548.6739,-71.1012,1.2913,25.72032412413853
216,216,2022/8/30 2:03:02,856.1,1548.673,-71.8216,1.3006999999999993,25.88092341640021
217,217,2022/8/30 2:03:32,856.1,1548.7204,-72.4689,1.2927999999999997,25.74597498529437
218,218,2022/8/30 2:04:02,856.1,1543.25,-73.0249,1.3045999999999935,25.9474530773698
219,219,2022/8/30 2:04:32,856.0,1543.25,-73.4756,1.304399999999994,25.944042753031948
220,220,2022/8/30 2:05:02,856.1,1543.25,-73.83929999999998,1.2948999999999984,25.781871310218616
221,221,2022/8/30 2:05:32,856.1,1543.25,-74.2286,1.2933000000000021,25.754523303758887
222,222,2022/8/30 2:06:02,856.0,1543.25,-73.83469999999998,1.3129999999999955,26.09054497476688
223,223,2022/8/30 2:06:32,856.0,1542.9515,-72.8066,1.302799999999998,25.916754503746688
224,224,2022/8/30 2:07:02,856.0,1548.812,-71.8626,1.2794000000000028,25.516513046191317
225,225,2022/8/30 2:07:32,856.0,1548.8068,-70.9417,1.3049999999999997,25.95427325490999
226,226,2022/8/30 2:08:02,856.0,1548.8042,-70.0138,1.2954999999999997,25.7921242153618
227,227,2022/8/30 2:08:32,856.0,1548.8054,-69.1001,1.2979000000000056,25.83312167395758
228,228,2022/8/30 2:09:02,856.0,1548.8093,-68.3015,1.3161999999999952,26.14498341544038
229,229,2022/8/30 2:09:32,856.0,1548.8146,-67.5716,1.3173999999999995,26.165387491610993
230,230,2022/8/30 2:10:02,856.0,1548.817,-66.8701,1.3422000000000056,26.58581193666608
231,231,2022/8/30 2:10:32,855.9,1548.822,-66.1769,1.3302000000000052,26.382680531437863
232,232,2022/8/30 2:11:02,855.9,1548.8262,-65.5543,1.3551000000000004,26.803553109898072
233,233,2022/8/30 2:11:32,855.9,1548.8318,-65.0394,1.352799999999995,26.764778402449014
234,234,2022/8/30 2:12:02,855.9,1548.8348,-64.5045,1.338300000000004,26.51985578464712
235,235,2022/8/30 2:12:32,855.8,1548.8406,-63.9418,1.373100000000001,27.106299173242956
236,236,2022/8/30 2:13:02,855.9,1548.8449,-63.4682,1.3681999999999948,27.024009224508617
237,237,2022/8/30 2:13:32,855.9,1548.8478,-63.0261,1.3688000000000005,27.03409053381086
238,238,2022/8/30 2:14:02,855.8,1548.855,-62.6416,1.3628,26.93321473806464
239,239,2022/8/30 2:14:32,855.8,1548.8613,-62.1736,1.366799999999998,27.00048075237992
240,240,2022/8/30 2:15:02,855.8,1548.8653,-61.7983,1.3926000000000016,27.43286118655193
241,241,2022/8/30 2:15:32,855.8,1548.871,-61.4676,1.3473000000000044,26.671972968197252
242,242,2022/8/30 2:16:02,855.8,1548.8749,-61.1343,1.3634999999999948,26.94499076334115
243,243,2022/8/30 2:16:32,855.8,1548.8794,-60.7235,1.3561000000000052,26.82040527439348
244,244,2022/8/30 2:17:02,855.8,1548.8841,-60.4212,1.3419000000000028,26.58074048905499
245,245,2022/8/30 2:17:32,855.8,1548.8891,-60.1529,1.355399999999996,26.808609166690044
246,246,2022/8/30 2:18:02,855.8,1548.8943,-59.8951,1.362600000000003,26.92984981077422
247,247,2022/8/30 2:18:32,855.8,1548.9001,-59.5575,1.3523999999999985,26.758032878629688
248,248,2022/8/30 2:19:02,855.8,1548.904,-59.2651,1.3303000000000036,26.384375613346368
249,249,2022/8/30 2:19:32,855.8,1548.9092,-59.0381,1.3485999999999976,26.693919406205577
250,250,2022/8/30 2:20:02,855.8,1548.9126,-58.8175,1.3481999999999985,26.687167355730914
251,251,2022/8/30 2:20:32,855.8,1548.9165,-58.5467,1.3009999999999948,25.886043203992337
252,252,2022/8/30 2:21:02,855.8,1548.9193,-58.2943,1.3093000000000004,26.027550504835872
253,253,2022/8/30 2:21:32,855.8,1548.9244,-58.0536,1.3050999999999984,25.955978201147
254,254,2022/8/30 2:22:02,855.8,1548.9289,-57.8564,1.2786,25.502791417082594
255,255,2022/8/30 2:22:32,855.8,1548.9334,-57.6777,1.261999999999996,25.217496495443456
256,256,2022/8/30 2:23:02,855.8,1548.9377,-57.4245,1.2789999999999988,25.5096525475891
257,257,2022/8/30 2:23:32,855.8,1548.9413,-57.2055,1.2572000000000048,25.134798125716554
258,258,2022/8/30 2:24:02,855.8,1548.948,-57.0356,1.2233999999999983,24.54986867936124
259,259,2022/8/30 2:24:32,855.7,1548.9533,-56.8863,1.2592999999999988,25.17098990941393
260,260,2022/8/30 2:25:02,855.7,1548.9578,-56.6589,1.2372999999999976,24.79096782661612
261,261,2022/8/30 2:25:32,855.7,1548.9598,-56.4716,1.2531000000000037,25.064087519338607
262,262,2022/8/30 2:26:02,855.7,1548.965,-56.2898,1.2575999999999992,25.141693148096845
263,263,2022/8/30 2:26:32,855.7,1548.9681,-56.1367,1.223500000000004,24.551605962836486
264,264,2022/8/30 2:27:02,855.6,1548.9734,-56.0199,1.2130999999999996,24.370714058102585
265,265,2022/8/30 2:27:32,855.6,1548.9761,-55.8279,1.2207999999999972,24.50468526529822
266,266,2022/8/30 2:28:02,855.6,1548.9798,-55.6551,1.2288,24.64362476703964
267,267,2022/8/30 2:28:32,855.6,1548.9842,-55.5036,1.2304000000000033,24.671381968264082
268,268,2022/8/30 2:29:02,855.6,1548.9873,-55.3701,1.2151000000000067,24.405534613038967
269,269,2022/8/30 2:29:32,855.5,1548.9956,-55.238,1.215599999999995,24.414237246520944
270,270,2022/8/30 2:30:02,855.6,1548.9981,-55.083,1.2396999999999967,24.832518391835055
271,271,2022/8/30 2:30:32,855.6,1549.0031,-54.9313,1.2459999999999976,24.941479440976252
272,272,2022/8/30 2:31:02,855.5,1549.008,-54.8248,1.2894000000000054,25.6878203124588
273,273,2022/8/30 2:31:32,855.6,1549.0122,-54.7371,1.2917999999999985,25.72887539559752
274,274,2022/8/30 2:32:02,855.5,1549.0162,-54.5621,1.2913999999999994,25.72203445719136
275,275,2022/8/30 2:32:32,855.6,1549.0188,-54.4317,1.3060000000000023,25.971320950806508
276,276,2022/8/30 2:33:02,855.6,1549.0214,-54.3043,1.3292999999999997,26.367423037751394
277,277,2022/8/30 2:33:32,855.6,1549.0247,-54.1858,1.3264000000000045,26.318238488614764
278,278,2022/8/30 2:34:02,855.6,1549.0317,-54.1293,1.3236999999999952,26.2724164444204
279,279,2022/8/30 2:34:32,855.6,1549.0336,-54.0024,1.3564999999999967,26.82714505376732
280,280,2022/8/30 2:35:02,855.6,1549.0381,-53.8371,1.3834999999999975,27.280648041163975
281,281,2022/8/30 2:35:32,855.6,1549.0427,-53.725,1.3727000000000016,27.099585106097607
282,282,2022/8/30 2:36:02,855.5,1549.0482,-53.6326,1.3836000000000013,27.282322446844585
283,283,2022/8/30 2:36:32,855.6,1549.0498,-53.5498,1.3928000000000011,27.436202949845843
284,284,2022/8/30 2:37:02,855.6,1549.0552,-53.4271,1.368200000000006,27.024009224508806
